thread_id,root_id,start_created_at,num_tweets,max_favorites,max_retweets,has_external_dependency,has_external_reply,has_external_quote,sample_text
1381788503109857281,1381788503109857281,Tue Apr 13 01:57:06 +0000 2021,4,12,1,0,0,0,Random etymology thing on why Americans pronounce solder ‘sodder’  https://t.co/xSHUIdZm4D
1576307178331217920,1576307178331217920,Sat Oct 01 20:24:52 +0000 2022,4,16,0,0,0,0,Somebody make an inner-life Instagram or tiktok for all the inner-life posters to go to. It would be a hit.
1381315566552555520,1381315566552555520,Sun Apr 11 18:37:49 +0000 2021,4,16,2,0,0,0,I got interested in the history of resignation letters and found this book. Anyone read it? https://t.co/yOHH9JpZ4t
1381288202208616449,1381288202208616449,Sun Apr 11 16:49:05 +0000 2021,6,64,2,0,0,0,Came up with a theory of rewilding technology. A technology is wilder if it is closer to an analogous thing that did/...
1380896264833753093,1380896264833753093,Sat Apr 10 14:51:40 +0000 2021,51,51,5,0,0,0,Tech futures meta thread. 3 prompts I posted in the last week got some good responses on stuff I’ve been thinking abo...
1380776664339128321,1380776664339128321,Sat Apr 10 06:56:25 +0000 2021,16,29,1,0,0,0,Random late night old-blogger story. When I started blogging in 2007  my tagline was “experiments in refactored perce...
1380542003759345664,1380542003759345664,Fri Apr 09 15:23:57 +0000 2021,8,13,1,0,0,0,187 responses and growing. Clearly a topic people have lots of thoughts on. Reading these has been a useful litmus te...
1380252931111354368,1380252931111354368,Thu Apr 08 20:15:17 +0000 2021,4,15,1,0,0,0,Now that’s wild https://t.co/bHzJVPXwKk
1575981809464070145,1575981809464070145,Fri Sep 30 22:51:58 +0000 2022,5,21,0,0,0,0,Why have they made Galadriel kinda a dumb hothead in rings of power? Like Sonny Corleone.
1379924700336320512,1379924700336320512,Wed Apr 07 22:31:00 +0000 2021,7,43,2,0,0,0,In the last few years essay writing has gone really barbell. Things are either transparently politically motivated in...
1379662853293047809,1379662853293047809,Wed Apr 07 05:10:31 +0000 2021,4,3,0,0,0,0,I have one big maker design project (rover) but I feel like I need a stream of much more trivial things. Like builds ...
1378491508010012674,1378491508010012674,Sat Apr 03 23:36:01 +0000 2021,9,61,4,0,0,0,What external accountability levers actually work on the Chinese state? Do any internal ones work? The party seems ab...
1378369481576091648,1378369481576091648,Sat Apr 03 15:31:07 +0000 2021,14,122,16,0,0,0,Case study of a retire-early story that didn’t go as planned. He attributes it to anomie  a breakup  and a health cri...
1378195489644941314,1378195489644941314,Sat Apr 03 03:59:45 +0000 2021,16,79,6,0,0,0,My feed seems weirdly mistuned. Like a radio tuned to the wrong channel. But I haven’t been able to retune it. 🤔  Not...
1378166269271101441,1378166269271101441,Sat Apr 03 02:03:38 +0000 2021,7,12,1,0,0,0,Discovered that I’m in this fantasy intellectuals team. 🤣  If I understand how this worked  I was picked in the 14th ...
1575933408085090304,1575933408085090304,Fri Sep 30 19:39:38 +0000 2022,4,24,3,0,0,0,What is the most successful corporate marketing campaign of the last few years? Feels like nothing has risen to the l...
1377813105892237312,1377813105892237312,Fri Apr 02 02:40:17 +0000 2021,8,167,20,0,0,0,The universe lets you learn until it doesn’t  but it basically never attempts to train you. There is no training set ...
1377492820265590785,1377492820265590785,Thu Apr 01 05:27:35 +0000 2021,4,12,0,0,0,0,Decided to delete morning thread on attrition warfare/bootstrapped businesses QTing another thread. I saved a copy to...
1377402849974317062,1377402849974317062,Wed Mar 31 23:30:04 +0000 2021,50,155,13,0,0,0,A thing I’ve learned this year is that story and writing are orthogonal skills. Still haven’t figured out what the co...
1575564176117768193,1575564176117768193,Thu Sep 29 19:12:26 +0000 2022,4,134,15,0,0,0,Pie chart of humanity:  Generative and energized but in an insane alt reality: 42%  Some form of long-haul debilitati...
1376724097145524224,1376724097145524224,Tue Mar 30 02:32:57 +0000 2021,6,30,8,0,0,0,I’m always astounded by how low the stakes are at the entry levels of oversupplied artistic fields. This is a $1000 g...
1376298379483901952,1376298379483901952,Sun Mar 28 22:21:18 +0000 2021,9,32,2,0,0,0,Bought a pair of these tiny turnbuckle rods with spherical joints for the 3-link differential mechanism on my rover d...
1375829056348807173,1375829056348807173,Sat Mar 27 15:16:23 +0000 2021,20,56,3,0,0,0,I can no longer tell unironically trad people apart from religious people 🤔  Seems like exactly the same mindset. Ave...
1375315096969244673,1375315096969244673,Fri Mar 26 05:14:05 +0000 2021,6,46,2,0,0,0,Once you’re old enough on Twitter  QTing starts to feel more like the decorously avuncular sidebar move than the  con...
1375306551531958273,1375306551531958273,Fri Mar 26 04:40:08 +0000 2021,5,18,0,0,0,0,kyc compliance regulations make me kinda mad
1375291480479129609,1375291480479129609,Fri Mar 26 03:40:15 +0000 2021,7,67,2,0,0,0,Wtf this Russian style icecream is really good https://t.co/FsB4exhAMY
1374923368495869954,1374923368495869954,Thu Mar 25 03:17:30 +0000 2021,19,62,4,0,0,0,Just heard the phrase “trauma porn” on a tv show. Tv discourse is less than a year behind Twitter at this point.  Sho...
1575512393228042241,1575512393228042241,Thu Sep 29 15:46:40 +0000 2022,9,24,4,0,0,0,Yep. Though I think expecting a NATO second strike is a deluded expectation of charismatic Cold War epic conflict  wh...
1374797373134704640,1374797373134704640,Wed Mar 24 18:56:50 +0000 2021,26,160,15,0,0,0,The 5 mother sauces of game theory  1. Prisoner’s dilemma 2. Ultimatum 3. Dictator 4. Rock Paper Scissors 5. ??
1374869762828759042,1374869762828759042,Wed Mar 24 23:44:29 +0000 2021,5,19,1,0,0,0,I looked it up and the army has 6333 tanks. The 400 odd tanks they’re inheriting from the marines would be less than ...
1373871459706138624,1373871459706138624,Mon Mar 22 05:37:35 +0000 2021,9,95,14,0,0,0,Ok this is funny https://t.co/4RkXFxg96X
1373786312235307008,1373786312235307008,Sun Mar 21 23:59:15 +0000 2021,8,88,1,0,0,0,A positive sign about substack is that I was largely unaware of what seems to have been some big culture war skirmish...
1373706610703429636,1373706610703429636,Sun Mar 21 18:42:32 +0000 2021,9,79,4,0,0,0,Thermodynamics is the subject I most wish I retained more of from college. Studied just enough to pass  then promptly...
1373521654647681024,1373521654647681024,Sun Mar 21 06:27:35 +0000 2021,5,311,36,0,0,0,Most people have no idea how much strain they’re under. Chronic strain is self-repressing. You don’t realize how hard...
1373376373113286658,1373376373113286658,Sat Mar 20 20:50:18 +0000 2021,4,46,3,0,0,0,It takes time to increase energy so if you work out 30min a day  plus 30 min recovery  your energy level in the remai...
1373307785828392961,1373307785828392961,Sat Mar 20 16:17:45 +0000 2021,36,129,14,0,0,0,Very interesting. British history is uniquely interesting since it’s also a history of the English language before it...
1373095313792143360,1373095313792143360,Sat Mar 20 02:13:28 +0000 2021,22,61,2,0,0,0,Watching the Snyder cut. Shit there’s actually a story here. Not a good story  but a story. Looks like Joss Whedon’s ...
1373033955084050433,1373033955084050433,Fri Mar 19 22:09:39 +0000 2021,15,43,5,0,0,0,Economics/finance thought leaders always sound far more confident and reassuring than social/cultural ones. The forme...
1372974315424022530,1372974315424022530,Fri Mar 19 18:12:40 +0000 2021,18,217,32,0,0,0,To the extent social science has true "mysteries" on par with those in physics  one big one is whether the idea of ra...
1372394735260684290,1372394735260684290,Thu Mar 18 03:49:37 +0000 2021,6,18,2,0,0,0,Old English is insane. I got none of these.  https://t.co/I53a9Pv7wy
1372022359893237760,1372022359893237760,Wed Mar 17 03:09:56 +0000 2021,30,79,3,0,0,0,Kinda sick of books.
1574830055233986560,1574830055233986560,Tue Sep 27 18:35:18 +0000 2022,42,276,38,0,0,0,The insight industry has been running in zombie mode on pure momentum for the last few years. Insights without a gran...
1371333956562423809,1371333956562423809,Mon Mar 15 05:34:28 +0000 2021,12,21,1,0,0,0,I think I need a life algorithm change B&amp;B is getting me into trouble lately https://t.co/EXwnLbs5jw
1592733169257943041,1592733169257943041,Wed Nov 16 04:15:53 +0000 2022,5,30,1,0,0,0,It’s early on a Tuesday and this place is kinda dead like late Saturday 🧐
1369815990087741440,1369815990087741440,Thu Mar 11 01:02:36 +0000 2021,5,15,1,0,0,0,South Park vaccinations special
1369771632139530241,1369771632139530241,Wed Mar 10 22:06:20 +0000 2021,10,25,0,0,0,0,Just recalling that I used to read a ton of pulp adventure thriller writers as a teenager but never do anymore. Alist...
1369727296291049472,1369727296291049472,Wed Mar 10 19:10:10 +0000 2021,4,4,0,0,0,0,Realizing my rover is actually v0.001 of my @basicmansion
1331673021367480320,1331673021367480320,Wed Nov 25 18:56:04 +0000 2020,30,175,22,0,0,0,Plot and character are in some ways the commodity elements of fiction  and how-to books spend 90% of their words on t...
1369688086691467264,1369688086691467264,Wed Mar 10 16:34:22 +0000 2021,7,30,7,0,0,0,Interesting read from @LMSacasas on Hartmut Rosa’s book  The Uncontrollability of the World. https://t.co/OAQLlVIek0
1369517402623406081,1369517402623406081,Wed Mar 10 05:16:07 +0000 2021,37,103,15,0,0,0,Feels like Sayre’s law increasingly applies to the world at large.  “Academic politics is the most vicious and bitter...
1368459447354286082,1368459447354286082,Sun Mar 07 07:12:11 +0000 2021,15,216,15,0,0,0,What annoys me about (new) macgyver... he never has to iterate. No trial-and-error or bug-fixing. His hacks work the ...
1368728496286040066,1368728496286040066,Mon Mar 08 01:01:17 +0000 2021,4,58,0,0,0,0,Went to Knott’s berry farm. For $45 you get to wander around an amusement park with all rides shut down but with food...
1368406028077821954,1368406028077821954,Sun Mar 07 03:39:55 +0000 2021,6,18,0,0,0,0,Watching Coming 2 America. Can’t tell if it’s working or not. Zamunda as satirical cartoon Wakanda kinda works. But m...
1367953423249723395,1367953423249723395,Fri Mar 05 21:41:26 +0000 2021,6,82,5,0,0,0,One of the upsides of being unable to think of yourself as special is that you when things go unreasonably well  you'...
1367713147646222336,1367713147646222336,Fri Mar 05 05:46:39 +0000 2021,9,194,14,0,0,0,Getting mildly sick of the word “creator”  It’s like how “entrepreneur” was going through a peak halo moment a decade...
1367523549531885571,1367523549531885571,Thu Mar 04 17:13:16 +0000 2021,5,48,6,0,0,0,“Glue” is a word that flags engineering topics full of lots of deep foxy knowledge and detail that’s not been systema...
1367350603022667779,1367350603022667779,Thu Mar 04 05:46:02 +0000 2021,4,11,1,0,0,0,Doing a lot of turning off RTs has given me fresh appreciation for people with an interesting RT style.  2x2 here: tw...
1366806561968951298,1366806561968951298,Tue Mar 02 17:44:13 +0000 2021,4,76,4,0,0,0,You can’t really be offended by people you’ve simply decided not to deal with. Flipping a bozobit also seems to turn ...
1366826519201419270,1366826519201419270,Tue Mar 02 19:03:31 +0000 2021,5,2,0,1,1,0,@danielfschmidt I think you'd have to get into the nature of the coupling. Is the multi-point coupling functionally d...
1366543895467724800,1366543895467724800,Tue Mar 02 00:20:28 +0000 2021,11,43,6,0,0,0,I *think* i unclogged the printer correctly this time. Fingers crossed. Learned to remove the Bowden tube and use cle...
1366437004167184384,1366437004167184384,Mon Mar 01 17:15:43 +0000 2021,4,207,3,0,0,0,Today is my 10th anniversary of going free agent :D 🥳
1365822149357834240,1365822149357834240,Sun Feb 28 00:32:30 +0000 2021,5,67,5,0,0,0,Food and exercise should be measured in kWh rather than calories or joules
1365728072327065605,1365728072327065605,Sat Feb 27 18:18:41 +0000 2021,5,354,32,0,0,0,Rules   1. The mass audience is just the union of all niche audiences.   2. Normies are people whose niches you don’t...
1365534901110333440,1365534901110333440,Sat Feb 27 05:31:05 +0000 2021,4,20,0,0,0,0,What if most of reality is actually experienced in montage mode and the Great Weirding was the end of an extended mon...
1365180895720693761,1365180895720693761,Fri Feb 26 06:04:24 +0000 2021,21,137,14,0,0,0,We need a word for “rule by people who sincerely believe they know how to rank the suffering in the world.” Something...
1365035545903067137,1365035545903067137,Thu Feb 25 20:26:49 +0000 2021,6,14,0,1,1,0,@Jer_Diamond The crypto-concern is one of the more meaningless pieces of bs in climate conversations. It’s nowhere ne...
1365002036555571205,1365002036555571205,Thu Feb 25 18:13:40 +0000 2021,5,26,1,0,0,0,How secure are URLs with random strings appended to a stem (generated as hashes of content?) and kept secret  but oth...
1364797505725079553,1364797505725079553,Thu Feb 25 04:40:56 +0000 2021,6,14,1,0,0,0,TIL that the reboots of Hawaii 5-0 (2010)  MacGyver (2016)  and Magnum P. I (2018) are part of the same fictional uni...
1364702904423079937,1364702904423079937,Wed Feb 24 22:25:02 +0000 2021,12,67,5,0,0,0,Median cost of common middle-class identity goods:  House: $270k College education: $25k New car: $20k* (guess) Phone...
1364463265208619010,1364463265208619010,Wed Feb 24 06:32:47 +0000 2021,6,35,1,0,0,0,In the pilot of Futurama  Fry starts out complaining that he hates his life as a delivery boy but at the end when he’...
